Id;Year;Edition;Film;Won;Nominees;Record;Writer;Age (in years);Ref.
385;2017;90;Three Billboards Outside Ebbing, Missouri;False;Martin McDonagh;;;;
270;1994;67;Three Colours: Red;False;Krzysztof Kieślowski & Krzysztof Piesiewicz;;;;
110;1962;35;Through a Glass Darkly;False;Ingmar Bergman;;;;
61;1953;26;Titanic;True;Charles Brackett, Richard L. Breen & Walter Reisch‡;;;;
9;1941;14;Tom, Dick and Harry;False;;;;;
210;1982;55;Tootsie;False;Screenplay: Larry Gelbart & Murray Schisgal;;;;
295;1999;72;Topsy-Turvy;False;Mike Leigh;;;;
275;1995;68;Toy Story;False;Screenplay: Joel Cohen, Alec Sokolow, Andrew Stanton & Joss Whedon;;;;
411;2022;95;Triangle of Sadness;False;Ruben Östlund;;;;
135;1967;40;Two for the Road;False;Frederic Raphael;;;;
23;1944;17;Two Girls and a Sailor;False;;;;;
